80, 0.0 0.0 0.5 0.589799537954 0.389433930636 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
81, 0.0 0.0 0.5 0.589885883663 0.389635569364 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
82, 0.0 0.0 0.5 0.589972229373 0.389837208092 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
83, 0.0 0.0 0.5 0.590058575083 0.390038846821 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
84, 0.0 0.0 0.5 0.590144920792 0.390240485549 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
85, 0.0 0.0 0.5 0.590231266502 0.390442124277 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
86, 0.0 0.0 0.5 0.590317612211 0.390643763006 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
87, 0.0 0.0 0.5 0.590403957921 0.390845401734 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
88, 0.0 0.0 0.5 0.59049030363 0.391047040462 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
89, 0.0 0.0 0.5 0.59057664934 0.391248679191 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
90, 0.0 0.0 0.5 0.59066299505 0.391450317919 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
91, 0.0 0.0 0.5 0.590749340759 0.391651956647 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
92, 0.0 0.0 0.5 0.590835686469 0.391853595376 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
93, 0.0 0.0 0.5 0.590922032178 0.392055234104 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
94, 0.0 0.0 0.5 0.591008377888 0.392256872832 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
95, 0.0 0.0 0.5 0.591094723597 0.392458511561 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
96, 0.0 0.0 0.5 0.591181069307 0.392660150289 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
97, 0.0 0.0 0.5 0.591267415017 0.392861789017 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
98, 0.0 0.0 0.5 0.591353760726 0.393063427746 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
99, 0.0 0.0 0.5 0.591440106436 0.393265066474 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
100, 0.0 0.0 0.5 0.591526452145 0.393466705202 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
101, 0.0 0.0 0.5 0.591612797855 0.393668343931 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
102, 0.0 0.0 0.5 0.591699143564 0.393869982659 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
103, 0.0 0.0 0.5 0.591785489274 0.394071621387 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
104, 0.0 0.0 0.5 0.591871834983 0.394273260116 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
